Q NO.,Question,Option 1,Option 2,Option 3,Option 4,Answer
1,Which is the smallest planet within our solar system?,Mercury,Uranus,Mars,Venus,Mercury
2,Which is the second smallest planet within our solar system?,Neptune,Mercury,Venus,Mars,Mars
3,The moon called Titan orbits which planet?,Saturn,Jupiter,Venus,Mars,Saturn
4,Which is the brightest planet in the night's sky?,Neptune,Mercury,Jupiter,Venus,Venus
5,Which is the largest planet within our solar system?,Uranus,Saturn,Jupiter,Neptune,Jupiter
6,Uranus has only been visited by what spacecraft?,Curiosity,The Voyager 2,Sputnik 1,The Voyager 1,The Voyager 2
7,,,,,,
8,,,,,,
9,,,,,,
10,,,,,,
11,,,,,,
12,,,,,,
13,,,,,,
14,,,,,,
15,,,,,,
16,,,,,,
17,,,,,,
18,,,,,,
19,,,,,,
20,,,,,,
